name,mana_cost,cmc,type_line,oracle_text,image_url
Undercity Dire Rat,{1}{B},2.0,Creature — Rat,"Rat Tail — When this creature dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",https://cards.scryfall.io/normal/front/2/7/274788f4-fbf3-4a15-bdc0-f513a2fde30d.jpg?1748706221
Unexpected Request,{2}{R},3.0,Sorcery,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. You may attach an Equipment you control to that creature. If you do, unattach it at the beginning of the next end step.",https://cards.scryfall.io/normal/front/0/2/0265fd20-a85d-49ce-b338-4c40843a5b18.jpg?1748706387
"Vaan, Street Thief",{2}{R},3.0,Legendary Creature — Human Scout,"Whenever one or more Scouts, Pirates, and/or Rogues you control deal combat damage to a player, exile the top card of that player's library. You may cast it. If you don't, create a Treasure token. Whenever you cast a spell you don't own, put a +1/+1 counter on each Scout, Pirate, and Rogue you control.",https://cards.scryfall.io/normal/front/5/0/50e1ec29-9de3-4f1b-b818-057e030d475b.jpg?1748706390
Valkyrie Aerial Unit,{5}{U}{U},7.0,Artifact Creature — Construct,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.) Flying When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",https://cards.scryfall.io/normal/front/b/4/b40a055f-ea66-44d4-b058-a328a3d10994.jpg?1748706078
"Vanille, Cheerful l'Cie",{3}{G},4.0,Legendary Creature — Human Cleric,"When Vanille enters, mill two cards, then return a permanent card from your graveyard to your hand. At the beginning of your first main phase, if you both own and control Vanille and a creature named Fang, Fearless l'Cie, you may pay {3}{B}{G}. If you do, exile them, then meld them into Ragnarok, Divine Deliverance.",https://cards.scryfall.io/normal/front/9/1/91226c1a-63a0-494e-bcf0-77c2d6f49213.jpg?1746906782
Vayne's Treachery,{1}{B},2.0,Instant,"Kicker—Sacrifice an artifact or creature. (You may sacrifice an artifact or creature in addition to any other costs as you cast this spell.) Target creature gets -2/-2 until end of turn. If this spell was kicked, that creature gets -6/-6 until end of turn instead.",https://cards.scryfall.io/normal/front/6/d/6de6d23b-7d42-41c1-be1c-010fe43ee586.jpg?1748706226
"Vector, Imperial Capital",,0.0,Land — Town,This land enters tapped. {T}: Add {B} or {R}.,https://cards.scryfall.io/normal/front/1/0/10e5648e-4884-41e3-95f8-c76f6bca01e2.jpg?1748706868
"Venat, Heart of Hydaelyn // Hydaelyn, the Mothercrystal",,3.0,Legendary Creature — Elder Wizard // Legendary Creature — God,,
Vincent's Limit Break,{1}{B},2.0,Instant,"Tiered (Choose one additional cost.) Until end of turn, target creature you control gains ""When this creature dies, return it to the battlefield tapped under its owner's control"" and has the chosen base power and toughness. • Galian Beast — {0} — 3/2. • Death Gigas — {1} — 5/2. • Hellmasker — {3} — 7/2.",https://cards.scryfall.io/normal/front/0/5/0502c426-5271-4989-8598-5bc159afe79c.jpg?1748718952
Vincent Valentine // Galian Beast,,4.0,Legendary Creature — Assassin // Legendary Creature — Werewolf Beast,,
Vivi Ornitier,{1}{U}{R},3.0,Legendary Creature — Wizard,"{0}: Add X mana in any combination of {U} and/or {R}, where X is Vivi Ornitier's power. Activate only during your turn and only once each turn. Whenever you cast a noncreature spell, put a +1/+1 counter on Vivi Ornitier and it deals 1 damage to each opponent.",https://cards.scryfall.io/normal/front/e/c/ecc1027a-8c07-44a0-bdde-fa2844cff694.jpg?1748706721
Warrior's Sword,{3}{R},4.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +3/+2 and is a Warrior in addition to its other types. Equip {5} ({5}: Attach to target creature you control. Equip only as a sorcery.)",https://cards.scryfall.io/normal/front/c/b/cb98a7dd-542e-4448-b3bb-ff5d67a36535.jpg?1748706394
Wastes,,0.0,Basic Land,{T}: Add {C}.,https://cards.scryfall.io/normal/front/c/6/c61feafd-ef09-437c-a12c-fd7d6cb8c15a.jpg?1748706933
Weapons Vendor,{3}{W},4.0,Creature — Human Artificer,"When this creature enters, draw a card. At the beginning of combat on your turn, if you control an Equipment, you may pay {1}. When you do, attach target Equipment you control to target creature you control.",https://cards.scryfall.io/normal/front/c/9/c9e6b374-3e44-4df7-b0a3-4ef98dc08267.jpg?1748705905
White Auracite,{2}{W}{W},4.0,Artifact,"When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield. {T}: Add {W}.",https://cards.scryfall.io/normal/front/2/d/2df6f515-9d21-4769-b1c4-c219611bccbb.jpg?1748705910
White Mage's Staff,{1}{W},2.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +1/+1, has ""Whenever this creature attacks, you gain 1 life,"" and is a Cleric in addition to its other types. Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",https://cards.scryfall.io/normal/front/3/0/30db372e-0b4c-4e16-9667-bf3fda666f72.jpg?1748705912
"Windurst, Federation Center",,0.0,Land — Town,This land enters tapped. {T}: Add {G} or {W}.,https://cards.scryfall.io/normal/front/c/7/c74024bd-b383-468d-9cf5-d112a29f6457.jpg?1748706869
World Map,{1},1.0,Artifact,"{1}, {T}, Sacrifice this artifact: Search your library for a basic land card, reveal it, put it into your hand, then shuffle. {3}, {T}, Sacrifice this artifact: Search your library for a land card, reveal it, put it into your hand, then shuffle.",https://cards.scryfall.io/normal/front/7/0/70d9ab99-ec8a-402e-ba1d-ffa6c4c84a3f.jpg?1748706796
"Xande, Dark Mage",{2}{U}{B},4.0,Legendary Creature — Human Wizard,"Menace (This creature can't be blocked except by two or more creatures.) Xande gets +1/+1 for each noncreature, nonland card in your graveyard.",https://cards.scryfall.io/normal/front/1/c/1caed9a8-b73b-470e-b9d8-8c3b7cac3eee.jpg?1748707603
You're Not Alone,{W},1.0,Instant,"Target creature gets +2/+2 until end of turn. If you control three or more creatures, it gets +4/+4 until end of turn instead.",https://cards.scryfall.io/normal/front/1/8/1867b5cb-2bb0-4f49-b302-036fdffa2344.jpg?1748705918
Y'shtola Rhul,{4}{U}{U},6.0,Legendary Creature — Cat Druid,"At the beginning of your end step, exile target creature you control, then return it to the battlefield under its owner's control. Then if it's the first end step of the turn, there is an additional end step after this step.",https://cards.scryfall.io/normal/front/a/e/aef218fa-13a4-4653-95d6-6b3ef1b33a92.jpg?1748706086
"Yuna, Hope of Spira",{3}{G}{W},5.0,Legendary Creature — Human Cleric,"During your turn, Yuna and enchantment creatures you control have trample, lifelink, and ward {2}. At the beginning of your end step, return up to one target enchantment card from your graveyard to the battlefield with a finality counter on it. (If a permanent with a finality counter on it would be put into a graveyard from the battlefield, exile it instead.)",https://cards.scryfall.io/normal/front/3/5/35b613ad-86f0-431b-af93-147d21041fde.jpg?1748706729
Zack Fair,{W},1.0,Legendary Creature — Human Soldier,"Zack Fair enters with a +1/+1 counter on it. {1}, Sacrifice Zack Fair: Target creature you control gains indestructible until end of turn. Put Zack Fair's counters on that creature and attach an Equipment that was attached to Zack Fair to that creature.",https://cards.scryfall.io/normal/front/f/2/f21f9161-5945-40da-8da0-446f6a4a1c23.jpg?1748705924
"Zanarkand, Ancient Metropolis // Lasting Fayth",{4}{G}{G},0.0,Land — Town // Sorcery — Adventure,,https://cards.scryfall.io/normal/front/8/8/881e4c00-3b9a-47a1-bf66-1badda994c88.jpg?1748706876
Zell Dincht,{2}{R},3.0,Legendary Creature — Human Monk,"You may play an additional land on each of your turns. Zell Dincht gets +1/+0 for each land you control. At the beginning of your end step, return a land you control to its owner's hand.",https://cards.scryfall.io/normal/front/1/3/135d6b27-9168-4513-9d7d-56edae048857.jpg?1748706397
"Zenos yae Galvus // Shinryu, Transcendent Rival",,5.0,Legendary Creature — Human Noble Warrior // Legendary Creature — Dragon,,
"Zidane, Tantalus Thief",{3}{R}{W},5.0,Legendary Creature — Human Mutant Scout,"When Zidane enters, gain control of target creature an opponent controls until end of turn. Untap it. It gains lifelink and haste until end of turn. Whenever an opponent gains control of a permanent from you, create a Treasure token.",https://cards.scryfall.io/normal/front/e/4/e42c7d9d-8685-415b-8c5d-6ab2165863b9.jpg?1748706732
"Zodiark, Umbral God",{B}{B}{B}{B}{B},5.0,Legendary Creature — God,"Indestructible When Zodiark enters, each player sacrifices half the non-God creatures they control of their choice, rounded down. Whenever a player sacrifices another creature, put a +1/+1 counter on Zodiark.",https://cards.scryfall.io/normal/front/9/b/9ba292d5-5139-42ea-950d-0a638445277f.jpg?1748706245
